,Building condition,Number of frontages,Surroundings type,Living area,Living room surface,Kitchen type,Bedrooms,Bathrooms,Shower rooms,Toilets,Basement,Furnished,Terrace,Elevator,Swimming pool,Energy class,Heating type,Price,Address,Flood zone type,Garden surface,Terrace surface,Garden
512,Good,4.0,,240  m² square meters,,Installed,4.0,1.0,1.0,3.0,,,Yes,,,C,Gas,"€ 695,000  695000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,,
513,To be done up,2.0,Isolated,282  m² square meters,30  m² square meters,Installed,4.0,3.0,2.0,3.0,Yes,No,,,,G,Gas,"€ 899,000  899000 €",Avenue Louise 589 1050  - Ixelles,,80  m²  square meters,,
519,Good,4.0,Countryside,154  m² square meters,34  m² square meters,Installed,3.0,1.0,,2.0,,No,,No,No,D,Gas,"€ 349,000  349000 €","Oude zandstraat , 30 9120  - Beveren",Non flood zone,350  m²  square meters,25  m²  square meters,
523,To be done up,3.0,Urban,73  m² square meters,25  m² square meters,USA semi equipped,2.0,1.0,1.0,1.0,,No,,,,E,Gas,"€ 150,000  150000 €",Avenue Louise 231 1050  - Ixelles,Non flood zone,,,
527,Good,3.0,,220  m² square meters,,Hyper equipped,3.0,1.0,,2.0,,,Yes,,,A,Gas,"€ 495,000  495000 €","Roterijstraat, 202 8793  - Waregem",Non flood zone,,,
531,To renovate,4.0,"Living area (residential, urban or rural)",215  m² square meters,45  m² square meters,Installed,3.0,1.0,1.0,2.0,,,Yes,No,No,E,Gas,"€ 595,000  595000 €","Wezembeeklaan, 120 1950  - Kraainem",,1100  m²  square meters,,
532,As new,4.0,"Living area (residential, urban or rural)",456  m² square meters,,Installed,5.0,3.0,1.0,4.0,Yes,No,,No,No,B,Gas,"€ 1,275,000  1275000 €",Doorniksewijk 32 8500  - Kortrijk,Non flood zone,900  m²  square meters,70  m²  square meters,
533,To renovate,3.0,,72  m² square meters,,Installed,2.0,1.0,,1.0,Yes,,Yes,Yes,,B,Fuel oil,"€ 168,000  168000 €",Mechelbaan 509 2580  - Putte,Non flood zone,,,
534,Good,4.0,Isolated,264  m² square meters,40  m² square meters,Installed,5.0,2.0,1.0,3.0,Yes,No,,,,F,Gas,"€ 1,250,000  1250000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,800  m²  square meters,15  m²  square meters,
536,Good,3.0,"Living area (residential, urban or rural)",57  m² square meters,32  m² square meters,USA semi equipped,1.0,1.0,1.0,1.0,Yes,No,,No,No,G,Gas,"€ 169,000  169000 €",Avenue Louise 231 1050  - Ixelles,Non flood zone,,2  m²  square meters,
543,As new,,Urban,89  m² square meters,,Not installed,2.0,1.0,,1.0,,No,,Yes,,A,Gas,"€ 215,000  215000 €",Rue Fort d'Andoy 5 5100  - Wierde,,,4  m²  square meters,
547,Good,3.0,,82  m² square meters,,Semi equipped,2.0,1.0,,1.0,,,,,,C,Gas,"€ 229,000  229000 €",Valkebeekstraat 24 1861  - Wolvertem,Non flood zone,,3  m²  square meters,
550,As new,2.0,"Living area (residential, urban or rural)",105  m² square meters,,Hyper equipped,2.0,2.0,3.0,2.0,,No,,Yes,No,C,,"€ 650,000  650000 €",9 rue Berckmans 1060  - Saint-Gilles,,,13  m²  square meters,
560,Good,4.0,,262  m² square meters,20  m² square meters,Installed,4.0,,1.0,1.0,Yes,,,,,G,Fuel oil,"€ 299,000  299000 €",Avenue des Ardennes 1/02 4500  - Huy,,547  m²  square meters,60  m²  square meters,
565,Good,,,230  m² square meters,58  m² square meters,Hyper equipped,3.0,2.0,,2.0,Yes,,,Yes,,B,Gas,"€ 565,000  565000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,38  m²  square meters,
566,As new,2.0,,100  m² square meters,35  m² square meters,,3.0,1.0,,1.0,,,,,,E,Gas,"€ 239,000  239000 €",Prins Boudewijnlaan 122 2610  - Wilrijk,Non flood zone,,26  m²  square meters,
568,To renovate,2.0,Urban,115  m² square meters,38  m² square meters,Semi equipped,3.0,2.0,2.0,2.0,Yes,No,,,,E,Gas,"€ 239,000  239000 €",Avenue Louise 231 1050  - Ixelles,Non flood zone,,2  m²  square meters,
569,Good,,,230  m² square meters,58  m² square meters,Hyper equipped,3.0,2.0,,2.0,Yes,,,Yes,,B,Gas,"€ 565,000  565000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,38  m²  square meters,
570,Good,2.0,Urban,104  m² square meters,30  m² square meters,Installed,3.0,1.0,,1.0,Yes,No,,Yes,,E,Gas,"€ 340,000  340000 €",Avenue de la Charmille 22 1200  - Woluwe-Saint-Lambert,Possible flood zone,,,
573,As new,4.0,Countryside,162  m² square meters,36  m² square meters,Installed,3.0,1.0,1.0,2.0,Yes,No,,No,Yes,D,Fuel oil,"€ 365,000  365000 €",Rue Simon 46/2 6990  - Hotton,Non flood zone,1039  m²  square meters,30  m²  square meters,
574,Good,,,230  m² square meters,58  m² square meters,Hyper equipped,3.0,2.0,,2.0,Yes,,,Yes,,B,Gas,"€ 565,000  565000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,38  m²  square meters,
575,Good,,,230  m² square meters,58  m² square meters,Hyper equipped,3.0,2.0,,2.0,Yes,,,Yes,,B,Gas,"€ 565,000  565000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,38  m²  square meters,
578,Good,2.0,Countryside,105  m² square meters,32  m² square meters,Installed,3.0,1.0,,1.0,Yes,No,,Yes,No,E,Gas,"€ 249,000  249000 €",Rue Prince Baudouin 67/15 1083  - Ganshoren,Non flood zone,,7  m²  square meters,
579,Good,,,230  m² square meters,58  m² square meters,Hyper equipped,3.0,2.0,,2.0,Yes,,,Yes,,B,Gas,"€ 565,000  565000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,38  m²  square meters,
580,Good,3.0,,110  m² square meters,,Hyper equipped,2.0,1.0,,1.0,Yes,,Yes,,,A,Gas,"€ 366,000  366000 €",Amsterdamstraat 15 bus202 2000  - Antwerpen,Non flood zone,,,
601,Good,2.0,Urban,90  m² square meters,,Semi equipped,2.0,1.0,,1.0,Yes,,,Yes,,E,,"€ 199,000  199000 €",Steenweg 171 Bis 1745  - Opwijk,Non flood zone,,,
603,Just renovated,1.0,"Living area (residential, urban or rural)",100  m² square meters,20  m² square meters,Hyper equipped,2.0,1.0,,2.0,,,,,,B,Pellet,"€ 210,000  210000 €",Avenue Paul de Lorraine 22 1410  - Waterloo,Non flood zone,60  m²  square meters,,
604,To renovate,2.0,Isolated,127  m² square meters,34  m² square meters,USA hyper equipped,3.0,2.0,1.0,3.0,,No,,Yes,No,D,Gas,"€ 595,000  595000 €",Avenue Louis Lepoutre 109 1050  - Ixelles,,,7  m²  square meters,
606,To be done up,3.0,,180  m² square meters,33  m² square meters,Installed,3.0,1.0,,2.0,,,,,,D,Fuel oil,"€ 240,000  240000 €",Rue de l'Yser 30 4430  - Ans,,55  m²  square meters,,
609,As new,3.0,Urban,144  m² square meters,23  m² square meters,Hyper equipped,3.0,2.0,,2.0,,No,,No,No,A,Gas,"€ 352,500  352500 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,35  m²  square meters,12  m²  square meters,
611,Good,2.0,Isolated,157  m² square meters,12  m² square meters,Hyper equipped,3.0,1.0,1.0,3.0,Yes,No,,No,No,G,Fuel oil,"€ 345,000  345000 €",Rue Potaerdenberg 31 1070  - Anderlecht,Non flood zone,,8  m²  square meters,
612,To be done up,4.0,,150  m² square meters,,Semi equipped,1.0,1.0,,1.0,,,Yes,,,F,Electric,"€ 349,000  349000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,,
613,As new,3.0,Urban,152  m² square meters,23  m² square meters,Hyper equipped,3.0,2.0,,2.0,,No,,No,No,A,Gas,"€ 358,500  358500 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,44  m²  square meters,12  m²  square meters,
614,Good,4.0,,190  m² square meters,19  m² square meters,Installed,3.0,1.0,,2.0,,,,,,C,Gas,"€ 425,000  425000 €",Kasteelstraat 1 1700  - Dilbeek,,450  m²  square meters,195  m²  square meters,
617,To be done up,4.0,,185  m² square meters,,Installed,3.0,1.0,,1.0,Yes,,Yes,,,F,Fuel oil,"€ 449,000  449000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,,
618,To renovate,2.0,"Living area (residential, urban or rural)",185  m² square meters,14  m² square meters,Installed,4.0,2.0,2.0,3.0,Yes,No,,No,No,G,Gas,"€ 497,000  497000 €",Rue du Page 59 bte 1 1050  - Ixelles,,49  m²  square meters,4  m²  square meters,
620,To be done up,4.0,Urban,112  m² square meters,28  m² square meters,Installed,3.0,1.0,,1.0,,No,,No,No,F,Gas,"Make an offer starting from  € 349,000  Make an offer starting from  349000 €",Avenue Fond Jean Rosy 17A 1330  - Rixensart,Non flood zone,897  m²  square meters,50  m²  square meters,
622,As new,3.0,Isolated,235  m² square meters,27  m² square meters,Installed,3.0,1.0,1.0,2.0,Yes,Yes,,No,No,D,Gas,"€ 510,000  510000 €",Rue Louis van Beethoven 25 1070  - Anderlecht,Non flood zone,75  m²  square meters,15  m²  square meters,
626,As new,3.0,Urban,167  m² square meters,28  m² square meters,Hyper equipped,3.0,1.0,1.0,2.0,,No,,No,No,B,,"Make an offer starting from  € 339,000  Make an offer starting from  339000 €",Rue de la Wallonie 2A 4680  - Oupeye,Possible flood zone,140  m²  square meters,68  m²  square meters,
627,,4.0,,160  m² square meters,52  m² square meters,Not installed,3.0,1.0,,1.0,Yes,,,,,B,Gas,"€ 260,000  260000 €",Rue Charles Magnette 24/40 4000  - Liège,,528  m²  square meters,12  m²  square meters,
629,To renovate,2.0,Urban,450  m² square meters,,Not installed,6.0,3.0,,,Yes,,,Yes,No,F,Gas,"€ 795,000  795000 €",Bld. Brand Whitlock 108 1200  - Woluwe-Saint-Lambert,,12  m²  square meters,,
631,To be done up,4.0,"Living area (residential, urban or rural)",253  m² square meters,48  m² square meters,Semi equipped,5.0,2.0,1.0,3.0,Yes,,,,,E,Fuel oil,"€ 695,000  695000 €",Alsembergsesteenweg 660 1653  - Dworp,Non flood zone,,,
633,Just renovated,2.0,Urban,59  m² square meters,24  m² square meters,Installed,1.0,1.0,,1.0,Yes,,,Yes,,B,Gas,"€ 245,000  245000 €",Interleuvenlaan 66 3001  - Heverlee,Non flood zone,,10  m²  square meters,
634,As new,2.0,Urban,87  m² square meters,31  m² square meters,USA hyper equipped,2.0,1.0,1.0,1.0,Yes,No,,Yes,No,A,,"€ 380,000  380000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Possible flood zone,,43  m²  square meters,
635,As new,2.0,Urban,95  m² square meters,30  m² square meters,Hyper equipped,2.0,1.0,,1.0,Yes,No,,Yes,No,A,,"€ 325,000  325000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,16  m²  square meters,
636,As new,2.0,Urban,68  m² square meters,28  m² square meters,USA hyper equipped,1.0,1.0,1.0,1.0,Yes,No,,Yes,,A,,"€ 285,000  285000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Possible flood zone,,13  m²  square meters,
637,As new,2.0,Urban,485  m² square meters,40  m² square meters,USA installed,9.0,5.0,,7.0,Yes,No,,No,No,E,,"€ 1,200,000  1200000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,58  m²  square meters,32  m²  square meters,
639,As new,,Urban,90  m² square meters,28  m² square meters,Installed,3.0,1.0,,1.0,,,,Yes,No,E,Gas,"€ 250,000  250000 €",Rue Louis van Beethoven 25 1070  - Anderlecht,,,20  m²  square meters,
640,As new,2.0,Isolated,142  m² square meters,72  m² square meters,Hyper equipped,2.0,2.0,2.0,3.0,Yes,No,,Yes,No,D,Gas,"€ 540,000  540000 €",Rue Langeveld 51 1180  - Uccle,Non flood zone,,,
641,Good,4.0,Urban,246  m² square meters,92  m² square meters,USA hyper equipped,3.0,1.0,,2.0,,No,,Yes,No,B,Gas,"Make an offer starting from  € 625,000  Make an offer starting from  625000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,27  m²  square meters,
642,To be done up,2.0,"Living area (residential, urban or rural)",85  m² square meters,22  m² square meters,Installed,2.0,1.0,1.0,1.0,Yes,No,Yes,Yes,No,D,Gas,"€ 225,000  225000 €","Wezembeeklaan, 120 1950  - Kraainem",Non flood zone,,,
643,As new,2.0,Urban,74  m² square meters,27  m² square meters,Installed,1.0,1.0,1.0,1.0,,No,,Yes,No,D,Gas,"Make an offer starting from  € 169,000  Make an offer starting from  169000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,,,
644,As new,2.0,Urban,132  m² square meters,45  m² square meters,Hyper equipped,3.0,1.0,,1.0,,No,,Yes,No,B,,"€ 340,000  340000 €","Oude zandstraat , 30 9120  - Beveren",Non flood zone,,8  m²  square meters,
645,Good,2.0,Urban,166  m² square meters,34  m² square meters,Hyper equipped,3.0,2.0,,2.0,,,Yes,No,No,C,Gas,"€ 309,000  309000 €",Astridlaan 1 1700  - Dilbeek,Non flood zone,,,
646,As new,,Urban,98  m² square meters,,Hyper equipped,1.0,1.0,,1.0,,No,,Yes,,B,Gas,"€ 675,000  675000 €",Avenue René Gobert 26 1180  - Uccle,,,9  m²  square meters,
647,Good,2.0,Urban,279  m² square meters,,Installed,4.0,4.0,4.0,4.0,,No,Yes,No,No,C,Gas,"€ 1,150,000  1150000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,,
648,As new,2.0,,90  m² square meters,,Hyper equipped,2.0,,1.0,1.0,,,,Yes,No,E,Fuel oil,"€ 239,000  239000 €",,,,3  m²  square meters,
649,As new,2.0,Urban,160  m² square meters,50  m² square meters,Hyper equipped,2.0,2.0,,3.0,Yes,No,,Yes,No,B,Gas,"€ 1,537,000  1537000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,,91  m²  square meters,
650,Just renovated,,Urban,33  m² square meters,26  m² square meters,Installed,,1.0,1.0,1.0,Yes,No,,Yes,No,G,Electric,"€ 129,000  129000 €",9 rue Berckmans 1060  - Saint-Gilles,,,,
651,As new,2.0,Urban,203  m² square meters,60  m² square meters,Hyper equipped,3.0,2.0,,3.0,Yes,No,,Yes,No,B,Gas,"€ 1,839,000  1839000 €",Avenue Baron Albert d'Huart 130 1950  - Kraainem,Non flood zone,,76  m²  square meters,
652,To be done up,4.0,,100  m² square meters,26  m² square meters,Installed,2.0,1.0,1.0,1.0,,,,,,F,Electric,"Make an offer starting from  € 249,000  Make an offer starting from  249000 €","Chaussée de la libération, 3 1390  - Grez-Doiceau",,,,Yes
653,Good,3.0,,243  m² square meters,,Installed,3.0,1.0,,2.0,Yes,,Yes,,,D,Gas,"€ 385,000  385000 €",Mechelsesteenweg 382 3020  - Herent,Non flood zone,878  m²  square meters,,
654,Good,3.0,Urban,180  m² square meters,34  m² square meters,Installed,3.0,1.0,,1.0,,No,,No,No,E,Gas,"€ 329,000  329000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,230  m²  square meters,20  m²  square meters,
655,To be done up,2.0,,130  m² square meters,29  m² square meters,Not installed,3.0,1.0,,1.0,,,,,,D,Gas,"Make an offer starting from  € 215,000  Make an offer starting from  215000 €",Joseph Durieux 151 5001  - Belgrade,,438  m²  square meters,28  m²  square meters,
656,As new,2.0,Urban,257  m² square meters,,Hyper equipped,5.0,1.0,2.0,2.0,,No,Yes,No,No,B,Gas,"€ 515,000  515000 €",Kardinaal Mercierlaan 81 3001  - Heverlee,Possible flood zone,,,
657,Good,2.0,,270  m² square meters,,Installed,5.0,3.0,,4.0,,,Yes,No,,G,Gas,"€ 699,000  699000 €",Astridlaan 1 1700  - Dilbeek,,,,
658,Good,2.0,,270  m² square meters,,Installed,5.0,3.0,,4.0,,,Yes,No,,G,Gas,"€ 699,000  699000 €",Astridlaan 1 1700  - Dilbeek,,,,
659,As new,2.0,Urban,61  m² square meters,24  m² square meters,Hyper equipped,1.0,1.0,,1.0,Yes,No,,Yes,No,A,,"€ 245,000  245000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,10  m²  square meters,
714,As new,2.0,Urban,96  m² square meters,24  m² square meters,Hyper equipped,2.0,1.0,,1.0,Yes,No,,Yes,No,A,,"€ 370,000  370000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,15  m²  square meters,
715,To be done up,2.0,"Living area (residential, urban or rural)",117  m² square meters,33  m² square meters,Installed,3.0,1.0,1.0,1.0,Yes,No,,Yes,No,F,Gas,"€ 245,000  245000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,,8  m²  square meters,
719,Good,4.0,Urban,94  m² square meters,34  m² square meters,,2.0,1.0,1.0,1.0,Yes,No,,No,No,B,Gas,"Make an offer starting from  € 109,000  Make an offer starting from  109000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,,32  m²  square meters,
720,As new,2.0,Urban,82  m² square meters,24  m² square meters,Hyper equipped,2.0,1.0,,1.0,Yes,No,,Yes,No,A,,"€ 415,000  415000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,29  m²  square meters,
721,Good,,,70  m² square meters,40  m² square meters,Installed,1.0,1.0,,2.0,Yes,,,Yes,,B,Gas,"€ 200,000  200000 €",chaussée de Wavre n°373 1390  - Grez-Doiceau,,,4  m²  square meters,
723,Good,3.0,Urban,129  m² square meters,57  m² square meters,Semi equipped,3.0,1.0,1.0,1.0,Yes,No,,,,F,Gas,"Make an offer starting from  € 109,000  Make an offer starting from  109000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,,45  m²  square meters,
724,To be done up,2.0,,79  m² square meters,31  m² square meters,Semi equipped,2.0,1.0,,1.0,Yes,,,,,B,Fuel oil,"€ 129,000  129000 €",Avenue des Ardennes 1/02 4500  - Huy,,,3  m²  square meters,
725,Good,2.0,Urban,60  m² square meters,25  m² square meters,Semi equipped,2.0,1.0,1.0,1.0,,No,,,,D,Electric,"Make an offer starting from  € 49,000  Make an offer starting from  49000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,,,
726,Good,2.0,Urban,60  m² square meters,25  m² square meters,Semi equipped,2.0,1.0,1.0,1.0,,No,,,,E,Electric,"Make an offer starting from  € 59,000  Make an offer starting from  59000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,,,
728,To renovate,3.0,Urban,95  m² square meters,30  m² square meters,Not installed,2.0,1.0,1.0,1.0,Yes,No,,Yes,No,E,Gas,"€ 265,000  265000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,,,
729,Good,,,122  m² square meters,,Installed,3.0,1.0,1.0,1.0,Yes,,Yes,Yes,,B,Gas,"€ 269,000  269000 €",Amsterdamstraat 15 bus202 2000  - Antwerpen,Non flood zone,,,
731,To renovate,3.0,Urban,95  m² square meters,30  m² square meters,Not installed,2.0,1.0,1.0,1.0,Yes,No,,Yes,No,E,Gas,"€ 265,000  265000 €","Avenue des Cerisiers, 212 1200  - Woluwe-St-Lambert",,,,
732,As new,3.0,Urban,104  m² square meters,,USA installed,2.0,2.0,1.0,2.0,Yes,,,No,No,A,Gas,"€ 350,000  350000 €",Place Communale 8 1160  - Auderghem,,,9  m²  square meters,
733,As new,4.0,Isolated,72  m² square meters,,Hyper equipped,1.0,1.0,1.0,2.0,,,,Yes,No,A,Gas,"€ 299,000  299000 €",Place Communale 8 1160  - Auderghem,,,8  m²  square meters,
734,As new,,Urban,86  m² square meters,,USA hyper equipped,2.0,1.0,,1.0,,No,,Yes,No,B,Gas,"€ 375,000  375000 €",Sint-Denijslaan 1 9000  - Gent,Non flood zone,,,
735,As new,4.0,Countryside,161  m² square meters,,Hyper equipped,3.0,2.0,2.0,1.0,Yes,,,Yes,No,A,Gas,"€ 746,000  746000 €",Place Communale 8 1160  - Auderghem,,,14  m²  square meters,
736,Good,2.0,"Living area (residential, urban or rural)",104  m² square meters,13  m² square meters,USA hyper equipped,3.0,1.0,1.0,1.0,,No,,Yes,No,F,Gas,"€ 449,000  449000 €",Place Communale 8 1160  - Auderghem,,,,
737,Good,2.0,,61  m² square meters,17  m² square meters,Installed,1.0,1.0,,1.0,Yes,,,,,B,Gas,"€ 218,000  218000 €",Alsembergsesteenweg 660 1653  - Dworp,,,,
738,Good,2.0,,108  m² square meters,32  m² square meters,Installed,3.0,1.0,,2.0,,,,,,C,,"€ 269,000  269000 €",Prins Boudewijnlaan 122 2610  - Wilrijk,Non flood zone,,4  m²  square meters,
739,Good,,Landscape,78  m² square meters,,Installed,2.0,1.0,,1.0,Yes,Yes,Yes,Yes,,B,Gas,"€ 299,900  299900 €",Franchommelaan 82-86 8370  - Blankenberge,Non flood zone,,,
740,Good,2.0,Landscape,80  m² square meters,,Installed,2.0,1.0,,1.0,,Yes,Yes,Yes,,C,Gas,"€ 325,000  325000 €",Franchommelaan 82-86 8370  - Blankenberge,Non flood zone,,,
741,To be done up,2.0,Isolated,145  m² square meters,20  m² square meters,Semi equipped,3.0,1.0,1.0,2.0,,No,,No,No,D,Gas,"€ 139,000  139000 €",Stationstraat 30 9600  - Ronse,Non flood zone,230  m²  square meters,,
744,To renovate,2.0,,116  m² square meters,34  m² square meters,Semi equipped,3.0,1.0,,1.0,Yes,,,,,F,Gas,"€ 149,000  149000 €",Dorpshart 10 2870  - Puurs,Non flood zone,,13  m²  square meters,
747,Good,4.0,"Living area (residential, urban or rural)",81  m² square meters,31  m² square meters,Installed,2.0,2.0,,1.0,Yes,,,Yes,,B,Fuel oil,"€ 159,000  159000 €",Plantin en Moretuslei 135A 2140  - Borgerhout,Non flood zone,,3  m²  square meters,
748,Good,2.0,,80  m² square meters,34  m² square meters,Installed,2.0,1.0,,1.0,Yes,,,,,B,Gas,"€ 249,000  249000 €",Plantin en Moretuslei 135A 2140  - Borgerhout,Non flood zone,,,
749,As new,2.0,Urban,154  m² square meters,28  m² square meters,Hyper equipped,3.0,1.0,1.0,2.0,Yes,No,,Yes,No,C,Fuel oil,"Make an offer starting from  € 224,000  Make an offer starting from  224000 €",Rue de la Wallonie 2A 4680  - Oupeye,Non flood zone,,,
776,As new,,,110  m² square meters,45  m² square meters,Installed,3.0,1.0,,2.0,,,,No,No,C,Gas,"€ 367,000  367000 €",De Kleetlaan 4 1831  - Diegem,,,8  m²  square meters,
